source,target,edge
Anterior chamber of eye structure,Hyphema,finding site of
Anterior chamber of eye structure,post-operative hemorrhage of right anterior chamber partially evacuated,finding site of
Anterior chamber of eye structure,post-operative hemorrhage of right anterior chamber totally evacuated,finding site of
Anterior chamber of eye structure,Hypopyon,finding site of
Anterior chamber of eye structure,extent of hypopyon of right eye,finding site of
Anterior chamber of eye structure,extent of hypopyon of left eye,finding site of
Anterior chamber of eye structure,Total hyphema,finding site of
Anterior chamber of eye structure,Lens material in anterior chamber,finding site of
Anterior chamber of eye structure,Nuclear lens fragment in anterior chamber,finding site of
Anterior chamber of eye structure,Glaucoma drainage tube touching cornea,finding site of
Anterior chamber of eye structure,Glaucoma drainage tube touching iris,finding site of
Anterior chamber of eye structure,Glaucoma drainage tube in good position,finding site of
Anterior chamber of eye structure,Anterior chamber intraocular lens present,finding site of
Anterior chamber of eye structure,Occludable anterior chamber of eye,finding site of
Anterior chamber of eye structure,Non-occludable anterior chamber of eye,finding site of
Anterior chamber of eye structure,Entire anterior chamber of eye,has entire anatomy structure
Anterior chamber of eye structure,Fibrin in anterior chamber,finding site of
Anterior chamber of eye structure,Disorder of intraocular pressure,finding site of
Anterior chamber of eye structure,Finding of depth of anterior chamber,finding site of
Anterior chamber of eye structure,Finding of appearance of anterior chamber,finding site of
Anterior chamber of eye structure,Finding of measures of anterior chamber,finding site of
Anterior chamber of eye structure,Anterior chamber of eye normal,finding site of
Anterior chamber of eye structure,Disorder of anterior chamber of eye,finding site of
Anterior chamber of eye structure,Retained magnetic foreign body in anterior chamber,finding site of
Anterior chamber of eye structure,Anterior chamber fibrosis,finding site of
Anterior chamber of eye structure,Anterior chamber finding,finding site of
Anterior chamber of eye structure,Locally shallow anterior chamber of eye,finding site of
Anterior chamber of eye structure,Evenly shallow anterior chamber of eye,finding site of
Anterior chamber of eye structure,Shallow anterior chamber of eye,finding site of
Anterior chamber of eye structure,Deep anterior chamber of eye,finding site of
Anterior chamber of eye structure,Medium depth anterior chamber of eye,finding site of
Anterior chamber of eye structure,Anterior chamber flare,finding site of
Anterior chamber of eye structure,Pseudo-hypopyon,finding site of
Anterior chamber of eye structure,Soft lens matter in anterior chamber,finding site of
Anterior chamber of eye structure,Anterior chamber - abnormal contents,finding site of
Anterior chamber of eye structure,Keratic precipitates,finding site of
Anterior chamber of eye structure,Anterior chamber deposits,finding site of
Anterior chamber of eye structure,Anterior chamber membrane,finding site of
Anterior chamber of eye structure,Gas in anterior chamber,finding site of
Anterior chamber of eye structure,Oil in anterior chamber,finding site of
Anterior chamber of eye structure,Anterior chamber pseudo-exfoliation deposits,finding site of
Anterior chamber of eye structure,Anterior chamber pale deposits,finding site of
Anterior chamber of eye structure,Trabecular dysgenesis,finding site of
Anterior chamber of eye structure,Spontaneous hyphema,finding site of
Anterior chamber of eye structure,Traumatic hyphema,finding site of
Anterior chamber of eye structure,Absent anterior chamber of eye,finding site of
Anterior chamber of eye structure,Retained nonmagnetic foreign body in anterior chamber,finding site of
Anterior chamber of eye structure,Implantation cyst of anterior chamber of eye,finding site of
Anterior chamber of eye structure,Cyst of anterior chamber of eye,finding site of
Anterior chamber of eye structure,Idiopathic cyst of anterior chamber of eye,finding site of
Anterior chamber of eye structure,Exudative cyst of anterior chamber of eye,finding site of
Anterior chamber of eye,Congenital anomaly of anterior chamber of eye,location of
Anterior chamber of eye structure,Congenital anomaly of anterior chamber of eye,finding site of
Anterior chamber of eye structure,Hypopyon ulcer,finding site of
Anterior chamber of eye structure,Foreign body in anterior chamber,finding site of
Anterior chamber of eye structure,Retained foreign body in anterior chamber of eye,finding site of
Anterior chamber of eye structure,Bacterial panuveitis,finding site of
Anterior chamber of eye structure,Fungal panuveitis,finding site of
Anterior chamber of eye structure,Panuveitis caused by Mycobacterium tuberculosis,finding site of
Anterior chamber of eye structure,Panuveitis caused by parasite,finding site of
Anterior chamber of eye structure,Panuveitis caused by Treponema pallidum,finding site of
Anterior chamber of eye structure,Panuveitis caused by Borrelia burgdorferi,finding site of
Anterior chamber of eye structure,Infection of anterior chamber of eye caused by parasite,finding site of
Anterior chamber of eye structure,Cataract lens fragments in anterior chamber of eye due to and following cataract surgery,finding site of
Anterior chamber of eye structure,Mass of anterior chamber of eye,finding site of
Anterior chamber of eye structure,Flat anterior chamber of eye,finding site of
Anterior chamber of eye structure,Irido-trabecular dysgenesis,finding site of
Anterior chamber of eye structure,Parasitic cyst of anterior chamber,finding site of
Neovascolarizzazione coroideale,Neovascolarizzazione della coroide,classified as
Neovascolarizzazione della coroide,Neovascolarizzazione della coroide,classified as
Chorioidea neovascularisatio,Chorioidea neovascularisatio,classified as
Choroidea neovascularisatioja,Chorioidea neovascularisatio,classified as
Neovascolarizzazione della coroide,Neovascolarizzazione della coroide,classifies
Choroidal neovascularisation,Choroidal neovascularization,classifies
Choroidal neovascularisation,Choroidal neovascularisation,classifies
Choroidal neovascularization,Choroidal neovascularisation,classified as
Koroidal neovaskularisation,Koroidal neovaskularisation,classified as
Soonkesta neovaskularisatsioon,Soonkesta neovaskularisatsioon,classifies
Neovascolarizzazione della coroide,Neovascolarizzazione coroideale,classifies
Neovaskularisation der Aderhaut,Neovaskularisation der Chorioidea,classifies
Koroidal neovaskularisation,Koroidal neovaskularisation,classifies
Koroidalna neovaskularizacija,Koroidalna neovaskularizacija,classifies
Neovaskularisation der Aderhaut,Neovaskularisation der Aderhaut,classifies
Choroidal neovascularisation,Choroidal neovascularisation,classified as
Soonkesta neovaskularisatsioon,Soonkesta neovaskularisatsioon,classified as
Soonkesta neovaskularisatsioon,Soonkesta neovaskularisatsioon,classified as
Chorioidea neovascularisatio,Choroidea neovascularisatioja,classifies
Chorioidea neovascularisatio,Chorioidea neovascularisatio,classifies
Soonkesta neovaskularisatsioon,Soonkesta neovaskularisatsioon,classifies
Koroidalna neovaskularizacija,Koroidalna neovaskularizacija,classifies
Suonikalvon uudissuonittuminen,Suonikalvon uudissuonittuminen,classifies
Koroidalna neovaskularizacija,Koroidalna neovaskularizacija,classified as
Koroidalna neovaskularizacija,Koroidalna neovaskularizacija,classified as
Neovaskularisation der Aderhaut,Neovaskularisation der Aderhaut,classified as
Suonikalvon uudissuonittuminen,Suonikalvon uudissuonittuminen,classified as
Suonikalvon uudissuonittuminen,Suonikalvon uudissuonittuminen,classified as
Neovaskularisation der Chorioidea,Neovaskularisation der Aderhaut,classified as
Suonikalvon uudissuonittuminen,Suonikalvon uudissuonittuminen,classifies
Soonkesta neovaskularisatsioon,Subretinaalne neovaskulaarne membraan,classifies
Koroidalna neovaskularizacija,Subretinalna neovaskularna membrana,classifies
Choroidal neovascularisation,Subretinal neovascular membrane,classifies
Neovascolarizzazione della coroide,Membrana neovascolare subretinica,classifies
Neovaskularisation der Aderhaut,Subretinale neovaskulaere Membran,classifies
Neovascolarizzazione della coroide,Membrana neovascolare coroidale,classifies
Choroidal neovascularisation,Choroidal neovascular membranes,classifies
Choroidal neovascularisation,Choroidal neovascular membrane,classifies
Neovaskularisation der Aderhaut,Choroidale neovaskulaere Membran,classifies
Suonikalvon uudissuonittuminen,Silmien suonikalvojen uudelleensuonittuminen,classifies
Koroidalna neovaskularizacija,Koroidalna neovaskularna membrana,classifies
Neovaskularisation der Aderhaut,Choroidale neovaskulaere Membranen,classifies
Soonkesta neovaskularisatsioon,Koroidaalne neovaskulaarne membraan,classifies
Koroidalna neovaskularizacija,Koroidalna neovaskularna membrana,classifies
Neovascolarizzazione della coroide,Membrane neovascolari coroideali,classifies
Soonkesta neovaskularisatsioon,Koroidaalsed neovaskulaarsed membraanid,classifies
Choroidal neovascularisation,Pachychoroid neovasculopathy,classifies
Neovascolarizzazione della coroide,Neovasculopatia pachicoroidale,classifies
Koroidalna neovaskularizacija,Neovaskularizacija s koroidnim zadebljanjem,classifies
Koroidal neovaskularisation,Pachykoroid neovaskulopati,classifies
Suonikalvon uudissuonittuminen,Suonikalvon paksuunnuttava uudissuonittuminen,classifies
Neovaskularisation der Aderhaut,Pachychoroidale Neovaskulopathie,classifies
Choroidal neovascularisation,Myopic choroidal neovascularization,classifies
Choroidal neovascularisation,Myopic choroidal neovascularisation,classifies
Koroidal neovaskularisation,Myopisk koroidal neovaskularisation,classifies
Koroidalna neovaskularizacija,Miopijska koroidna neovaskularizacija,classifies
Neovascolarizzazione della coroide,Neovascolarizzazione coroidale miopica,classifies
Neovaskularisation der Aderhaut,Myopiebedingte choroideale Neovaskularisierung,classifies
Neovascolarizzazione della coroide,Neovascolarizzazione miopica della coroide,classifies
Neovaskularisation der Aderhaut,Myopiebedingte choroideale Neovaskularisierung,classifies
Polypoid chorioidealis vasculopathia,Polypoid chorioidealis vasculopathia,classified as
Polypoide chorioidale Neovaskularisation,Polypoide chorioidale Neovaskularisation,classified as
Vasculopatia coroidale polipoide,Vasculopatia coroidale polipoide,classified as
Polypoidal choroidal vasculopathy,Polypoidal choroidal vasculopathy,classifies
Polypoide chorioidale Neovaskularisation,Polypoide chorioidale Neovaskularisation,classifies
Vasculopatia coroidal polipoidal,Vasculopatia coroidal polipoidal,classified as
Vasculopatia coroidal polipoidal,Vasculopatia coroidal polipoidal,classifies
Vasculopatia coroidale polipoide,Vasculopatia coroidale polipoide,classifies
Polipoidna koroidalna vaskulopatija,Polipoidna koroidalna vaskulopatija,classified as
Polypoid chorioidealis vasculopathia,Polypoid chorioidealis vasculopathia,classifies
Polypoidal koroidal vaskulopati,Polypoidal koroidal vaskulopati,classified as
Polypoidal koroidal vaskulopati,Polypoidal koroidal vaskulopati,classifies
Vasculopatia polipoide da coroide,Vasculopatia polipoide da coroide,classifies
Vasculopatia polipoide da coroide,Vasculopatia polipoide da coroide,classified as
Polipoidna koroidalna vaskulopatija,Polipoidna koroidalna vaskulopatija,classifies
Polypoidal choroidal vasculopathy,Polypoidal choroidal vasculopathy,classified as
Polypoidal choroidal vasculopathy,Structure of layer of large vessels of choroid,has finding site
Epiretinal membrane,Premacular membrane,classifies
Membrana epiretinica,Membrana premaculare,classifies
Membrana epirretiniana,Membrana premacular,classifies
epiretinaal vlies,premaculair membraan,classifies
Epiretinale Membran,Praemakulaere Membran,classifies
Epiretinalna membrana / makularno nabiranja,Premakularna membrana,classifies
Epiretinaalne membraan,Premakulaarne membraan,classifies
Epiretinaalinen kalvo,Premakulaarinen kalvo,classifies
Epiretinal membrane,Premacular gliosis,classifies
Epiretinaalinen kalvo,Premakulaarinen glioosi,classifies
Membrana epirretiniana,Gliosis premacular,classifies
epiretinaal vlies,premaculaire gliose,classifies
Epiretinalna membrana / makularno nabiranja,Premakularna glioza,classifies
Epiretinaalne membraan,Premakulaarne glioos,classifies
Epiretinale Membran,Epiretinale Gliose,classifies
Membrana epiretinica,Gliosi premaculare,classifies
Fibrosis prerretiniana,Fibrosis macular,classified as
preretinale fibrose,maculaire fibrose,classified as
Preretinalis fibrosis,Macularis fibrosis,classified as
Preretinal fibrosis,Macular fibrosis,classified as
Fibrosi preretinica,Fibrosi maculare,classified as
Praeretinale Fibrose,Makulafibrose,classified as
Preretinalna fibroza,Makularna fibroza,classified as
Preretinaalinen fibroosi,Makulan fibroosi,classified as
Preretinaalne fibroos,Makuli fibroos,classified as
Macular puckering,Retinal detachments; defects; vascular occlusion; and retinopathy,classified as
Macular puckering,Other retinal disorders,classified as
Preretinal fibrosis,Epiretinal membrane,replaced by
Epiretinal membrane,Epiretinal membrane,classified as
Macular puckering,Epiretinal membrane,classified as
Macular puckering of retina,Epiretinal membrane,classified as
Epimacular membrane,Epiretinal membrane,classified as
Epiretinal membrane,Epimacular membrane,classifies
Epiretinal membrane,Epiretinal membrane,classifies
Membrana epimacular,Membrana epirretiniana,classified as
Epiretinal membrane,Macular puckering of retina,classifies
Enrugamento macular,Membrana epirretiniana,classified as
Epiretinal membrane,Macular puckering,classifies
Maculopatia em celofane,Membrana epirretiniana,classified as
Membrana epirretiniana,Membrana epirretiniana,classified as
Membrana epirretiniana,Membrana epirretiniana,classified as
Membrana epimaculare,Membrana epiretinica,classified as
Membrana epirretiniana,Pregueamento macular da retina,classifies
Epiretinale Membran,Epiretinale Membran,classifies
Membrana epirretiniana,Enrugamento macular,classifies
Pucker maculare,Membrana epiretinica,classified as
Membrana epirretiniana,Membrana epirretiniana,classified as
Epiretinale Membran,Makulaere Faeltelung der Retina,classifies
Membrana epirretiniana,Membrana epirretiniana,classifies
Mebrana epimacular,Membrana epirretiniana,classified as
Membrana epirretiniana,Membrana epimacular,classifies
Membrana epirretiniana,Fruncimiento macular retiniano,classifies
Enrugamento macular,Membrana epirretiniana,classified as
Membrana epiretinica,Pucker maculare,classifies
epimacula-oedeem,epiretinaal vlies,classified as
Enrugamento macular da retina,Membrana epirretiniana,classified as
Epiretinale Membran,Makula-Pucker,classifies
Epiretinale Membran,Epimakulamembran,classifies
epiretinaal vlies,epiretinaal vlies,classified as
Membrana epiretinica,Membrana epimaculare,classifies
Makulaere Faeltelung der Retina,Epiretinale Membran,classified as
Epiretinaalne membraan,Tsellofaanmakulopaatia,classifies
Membrana epirretiniana,Membrana epirretiniana,classifies
Fruncimiento macular retiniano,Membrana epirretiniana,classified as
Epimakulamembran,Epiretinale Membran,classified as
Epiretinaalinen kalvo,Verkkokalvon makulan ryppykalvo,classifies
Fruncimiento macular,Membrana epirretiniana,classified as
Membrana epiretinica,Membrana epiretinica,classified as
Kelmumainen makulopatia,Epiretinaalinen kalvo,classified as
Epimakulaarne membraan,Epiretinaalne membraan,classified as
Epiretinalna membrana / makularno nabiranja,Epiretinalna membrana / makularno nabiranja,classifies
Verkkokalvon makulan ryppykalvo,Epiretinaalinen kalvo,classified as
Epiretinaalne membraan,Epiretinaalne membraan,classified as
Makuli kattumine armkoega,Epiretinaalne membraan,classified as
Epiretinaalinen kalvo,Epiretinaalinen kalvo,classified as
Makulan ryppykalvo,Epiretinaalinen kalvo,classified as
Membrana epirretiniana,Fruncimiento macular,classifies
Membrana epiretinica maculare,Membrana epiretinica,classified as
Membrana epirretiniana,Enrugamento macular,classifies
Membrana epiretinica,Membrana epiretinica,classifies
Makula-Pucker,Epiretinale Membran,classified as
Membrana epirretiniana,Maculopatia em celofane,classifies
Epiretinaalinen kalvo,Makulan ryppykalvo,classifies
Epimakulaarinen kalvo,Epiretinaalinen kalvo,classified as
Membrana epimacular,Membrana epirretiniana,classified as
Pregueamento macular da retina,Membrana epirretiniana,classified as
Membrana epirretiniana,Enrugamento macular da retina,classifies
Epiretinaalne membraan,Epiretinaalne membraan,classifies
Epiretinaalne membraan,Epimakulaarne membraan,classifies
epiretinaal vlies,epimacula-oedeem,classifies
Epiretinaalinen kalvo,Epiretinaalinen kalvo,classifies
Epiretinaalinen kalvo,Epimakulaarinen kalvo,classifies
Membrana epirretiniana,Mebrana epimacular,classifies
Membrana epirretiniana,Membrana epirretiniana,classifies
Epiretinale Membran,Epiretinale Membran,classified as
epiretinaal vlies,epiretinaal vlies,classifies
Membrana epiretinica,Membrana epiretinica maculare,classifies
Membrana epirretiniana,Membrana epimacular,classifies
Epiretinalmembran,Epiretinalmembran,classifies
Epiretinalmembran,Epiretinalmembran,classified as
Epiretinaalinen kalvo,Kelmumainen makulopatia,classifies
Epiretinaalne membraan,Makuli kattumine armkoega,classifies
Tsellofaanmakulopaatia,Epiretinaalne membraan,classified as
Celofanska makulopatija,Epiretinalna membrana / makularno nabiranja,classified as
Makularno nabiranje,Epiretinalna membrana / makularno nabiranja,classified as
Epiretinalna membrana / makularno nabiranja,Epimakularna membrana,classifies
Epiretinalna membrana / makularno nabiranja,Epiretinalna membrana / makularno nabiranja,classified as
Epimakularna membrana,Epiretinalna membrana / makularno nabiranja,classified as
Epiretinalna membrana / makularno nabiranja,Makularno nabiranje,classifies
Epiretinalna membrana / makularno nabiranja,Celofanska makulopatija,classifies
Epiretinal membrane,Retinal structure,has finding site
Membrana epirretiniana,Enrugamento da membrana limitante interna,classifies
Epiretinal membrane,Internal limiting membrane wrinkling,classifies
Membrana epirretiniana,Arrugamiento de la membrana limitante interna,classifies
Epiretinale Membran,Faltenbildung der inneren Grenzmembran,classifies
epiretinaal vlies,rimpeling van membrana limitans interna,classifies
Membrana epirretiniana,Enrugamento da membrana limitante interna,classifies
Proliferative diabetic retinopathy,Retinal detachments; defects; vascular occlusion; and retinopathy,classified as
Proliferative diabetic retinopathy,Diabetic retinopathy,classified as
Retinopatia diabetica proliferativa,Retinopatia diabetica,classified as
Proliferative diabetische Retinopathie,Diabetische Retinopathie,classified as
Proliferacyjna retinopatia cukrzycowa,Retinopatia cukrzycowa,classified as
Proliferativ diabetesretinopati,Diabetesretinopati,classified as
proliferatieve diabetische retinopathie,diabetische retinopathie,classified as
Proliferative diabetic retinopathy,Other retinal disorders,classified as
Macular branch retinal vein occlusion,Structure of macular tributary of retinal vein,has finding site
loslating van retina pigmentepitheel,loslating van retina pigmentepitheel,classifies
Abhebung des retinalen Pigmentepithels,Abhebung des retinalen Pigmentepithels,classifies
Desprendimiento del epitelio pigmentoso de la retina,Desprendimiento del epitelio pigmentoso de la retina,classifies
Distacco dell'epitelio pigmentato della retina,Distacco dell'epitelio pigmentato della retina,classified as
Detachment of retinal pigment epithelium,Detachment of retinal pigment epithelium,classifies
Distacco dell'epitelio pigmentato della retina,Distacco dell'epitelio pigmentato della retina,classifies
Detachment of retinal pigment epithelium,Detachment of retinal pigment epithelium,classified as
Verkkokalvon pigmenttiepiteelin irtauma,Verkkokalvon pigmenttiepiteelin irtauma,classified as
Verkkokalvon pigmenttiepiteelin irtauma,Verkkokalvon pigmenttiepiteelin irtauma,classifies
Abhebung des retinalen Pigmentepithels,Abhebung des retinalen Pigmentepithels,classified as
loslating van retina pigmentepitheel,loslating van retina pigmentepitheel,classified as
Desprendimiento del epitelio pigmentoso de la retina,Desprendimiento del epitelio pigmentoso de la retina,classified as
loslating van retina pigmentepitheel,sereuze loslating van retina pigmentepitheel,classifies
Desprendimiento del epitelio pigmentoso de la retina,Desprendimiento seroso del epitelio pigmentario retiniano,classifies
Abhebung des retinalen Pigmentepithels,Seroese Abloesung des retinalen Pigmentepithels,classifies
Distacco dell'epitelio pigmentato della retina,Distacco sieroso dell'epitelio pigmentato della retina,classifies
Detachment of retinal pigment epithelium,Serous detachment of retinal pigment epithelium,classifies
Verkkokalvon pigmenttiepiteelin irtauma,Seroosi verkkokalvon pigmenttiepiteelin irtauma,classifies
Detachment of retinal pigment epithelium,Hemorrhagic detachment of retinal pigment epithelium,classifies
loslating van retina pigmentepitheel,hemorragische loslating van retina pigmentepitheel,classifies
Abhebung des retinalen Pigmentepithels,Haemorrhagische Abloesung des retinalen Pigmentepithels,classifies
Abhebung des retinalen Pigmentepithels,Haemorrhagische Abloesung des retinalen Pigmentepithels,classifies
Detachment of retinal pigment epithelium,Haemorrhagic detachment of retinal pigment epithelium,classifies
Distacco dell'epitelio pigmentato della retina,Distacco emorragico dell'epitelio pigmentato della retina,classifies
loslating van retina pigmentepitheel,hemorragische loslating van retina pigmentepitheel,classifies
Verkkokalvon pigmenttiepiteelin irtauma,Verkkokalvon hemorraginen pigmenttiepiteelin irtauma,classifies
Verkkokalvon pigmenttiepiteelin irtauma,Verkkokalvon hemorraginen pigmenttiepiteelin irtauma,classifies
Distacco dell'epitelio pigmentato della retina,Distacco emorragico dell'epitelio pigmentato della retina,classifies
Glaucoma,"Glaucoma with increased episcleral venous pressure, right eye",classifies
Glaucoma,"Hypersecretion glaucoma, unspecified eye",classifies
Glaucoma,"Absolute glaucoma, unspecified eye",classifies
Glaucoma,"Glaucoma with increased episcleral venous pressure, bilateral",classifies
Glaucoma,"Aqueous misdirection, left eye",classifies
Glaucoma,"Aqueous misdirection, bilateral",classifies
Glaucoma,"Aqueous misdirection, right eye",classifies
Glaucoma,"Glaucoma with increased episcleral venous pressure, left eye",classifies
Glaucoma,"Hypersecretion glaucoma, bilateral",classifies
Glaucoma,"Aqueous misdirection, unspecified eye",classifies
Glaucoma,"Glaucoma with increased episcleral venous pressure, unspecified eye",classifies
glaucoma,childhood glaucoma,associated with
Glaucoma,Glaucoma of childhood,classifies
Glaucoma,"Goniosynechiae, bilateral",classifies
Glaucoma,"Iridodialysis, unspecified eye",classifies
Glaucoma,"Goniosynechiae, left eye",classifies
Glaucoma,"Goniosynechiae, right eye",classifies
Glaucoma,"Iridodialysis, bilateral",classifies
Glaucoma,"Goniosynechiae, unspecified eye",classifies
Glaucoma,"Iridodialysis, left eye",classifies
Glaucoma,"Iridodialysis, right eye",classifies
Glaucoma,Glaucoma of childhood,classifies
Glaucoma,Glaucoma de la infancia,classifies
Glaucoma,Glaucoma dell'infanzia,classifies
Glaucoma,Gyermekkori glaucoma,classifies
Glaucome,Glaucome de l'enfance,classifies
Glaucoma,"Absolute glaucoma, bilateral",classifies
Glaucoma,"Absolute glaucoma, right eye",classifies
Glaucoma,"Absolute glaucoma, left eye",classifies
Glaucoma,"Hypersecretion glaucoma, right eye",classifies
Glaucoma,"Hypersecretion glaucoma, left eye",classifies
Unspecified glaucoma,Glaucoma,classified as
Glaucoma non specificato,Glaucoma,classified as
Glaucoma non specificato,Glaucoma,classified as
Glaucoma,Glaucoma,classified as
Glaucoma,Unspecified glaucoma,classifies
Glaucoma k.m.n.,Glaucoma,classified as
Glaucoma,Glaucoma,classified as
Glaucoma,Glaucoma k.m.n.,classifies
Glaucoma,"Glaucoma, unspecified",classifies
Glaucoma,Unspecified glaucoma,classifies
Glaucoma,Glaucoma,classifies
Glaucoma,Glaucoma NE,classifies
Glaucoma,Glaucoma,classifies
Glaucoma,Glaucoma,classifies
Glaucoma,Glaucoma non specificato,classifies
Glaucome,Glaucome,classifies
Glaucoma,Glaucoma no especificado,classifies
"Glaucoma, unspecified",Glaucoma,classified as
Glaucoma,Glaucoma,classifies
Unspecified glaucoma,Glaucoma,classified as
Glaucoma,Glaucoma no especificado,classifies
Glaucoma,Glaucoma NE,classifies
Glaucoma,Glaucoma,classified as
Glaucoma,Glaucoma NE,classifies
Glaucoma,Glaucoma,classifies
Glaucoma,Glaucoma non specificato,classifies
Glaucoma,Glaucoma,classified as
Glaucoma,Glaucoma,classifies
Unspecified glaucoma,Glaucoma,classified as
Jaskra,Jaskra BNO,classifies
Jaskra BNO,Jaskra,classified as
Jaskra,Jaskra,classifies
Jaskra,Jaskra,classified as
Glaucoma no especificado,Glaucoma,classified as
Glaucome,Glaucome,classified as
Glaucoma NE,Glaucoma,classified as
Glaucoma NE,Glaucoma,classified as
Glaucoma no especificado,Glaucoma,classified as
Glaucoma NE,Glaucoma,classified as
Glaucoma,Glaucoma,classified as
Glaucoma,Glaucoma,classified as
Glaucoma,Unspecified glaucoma,classifies
Glaucoma,Glaucoma neovascolare,classifies
Glaucoma,Neovascularis glaucoma,classifies
Glaucoma,Glaucoma neovascular,classifies
Glaucoma,Neovascular glaucoma,classifies
Jaskra,Jaskra neowaskularna,classifies
Glaucoma,Glaucoma neovascular,classifies
Glaucoma,Glaucoma neovascular,classifies
Glaucoma,Lens particle glaucoma,classifies
Jaskra,Jaskra spowodowana soczewkami kontaktowymi,classifies
Glaucoma,At increased risk of glaucoma,realization of
glaucoma,con mayor riesgo de glaucoma,realization of
Glaucoma,Eye structure,has finding site
Glaucoma,Eye Diseases,related to
Glaucoma,Aqueous misdirection,classifies
Glaucoma,Glaucoma agravado,classifies
Glaucoma,Agravamiento de glaucoma,classifies
Glaucoma,Glaucoma aggravato,classifies
Jaskra,Zaostrzenie jaskry,classifies
Glaucoma,Glaucoma aggravated,classifies
Glaucome,Glaucome des deux yeux,classifies
Glaucoma,Glaucoma de ambos ojos,classifies
Glaucoma,Glaucoma bilateral,classifies
Glaucoma,Glaucoma both eyes,classifies
Glaucoma,Glaucoma di entrambi gli occhi,classifies
Glaucoma,Glaucoma dos dois olhos,classifies
Jaskra,Jaskra obu oczu,classifies
Glaucoma,Glaucoma (escl congenito),classifies
Glaucoma,Glaucoma (excl congenital),classifies
Glaucoma,No H/O: Glaucoma,associated finding of
glaucoma,sin antecedente de: glaucoma,associated finding of
Glaucoma,"Preglaucoma, unspecified",classifies
Glaucoma,No FH: Glaucoma,associated finding of
glaucoma,sin antecedente familiar de glaucoma,associated finding of
glaucoma,antecedente familiar de glaucoma,associated finding of
Glaucoma,FH: Glaucoma,associated finding of
Glaucoma,H/O: glaucoma,associated finding of
glaucoma,antecedente de: glaucoma,associated finding of
Glaucoma,Steroid responders borderline glaucoma,classifies
Glaucoma,Glaucoma inducido por corticosteroides,classifies
Glaucoma,Corticosteroid-induced glaucoma,classifies
Glaucoma,Glaucoma steroid-induced,classifies
Glaucoma,Glaucoma inducido por esteroides,classifies
Glaucoma,Glaucoma indotto da steroidi,classifies
Glaucoma,Glaucoma da corticosteroidi,classifies
Glaucoma,Glaucoma induzido por corticosteroides,classifies
Glaucoma,"Glaucoma da corticosteroidi, stadio glaucomatoso",classifies
Glaucoma,Glaucoma induzido por esteroides,classifies
Glaucoma,"Corticosteroid-induced glaucoma, residual stage",classifies
Glaucoma,"Corticosteroid-induced glaucoma, glaucomatous stage",classifies
Glaucoma,"Glaucoma inducido por corticosteroides, fase glaucomatosa",classifies
Glaucoma,"Glaucoma da corticosteroidi, stadio residuo",classifies
Glaucoma,"Corticosteroid-induced glaucoma, residual stage",classifies
Glaucoma,"Glaucoma inducido por corticosteroides, fase residual",classifies
Glaucoma,"Corticosteroid-induced glaucoma, glaucomatous stage",classifies
Glaucoma,Glaucoma associated with ocular inflammations,classifies
Glaucoma,Glaucoma associated with ocular inflammations,classifies
Glaucoma,Glaucoma asociado a inflamaciones oculares,classifies
Uveitis,Family history of uveitis,associated finding of
Uveite,Uveite acuta,classifies
Uveitis,Acute uveitis,classifies
Uveitis,Akute Uveitis,classifies
Uveitis,Akutni uveitis,classifies
Uveitis,Acut uveitis,classifies
Uveit,Akut uveit,classifies
Uveitis,Granulomatous uveitis,classifies
Uveite,Uveite granulomatosa,classifies
Uveitis,Granulomatosus uveitis,classifies
Uveitis,Granulomatoese Uveitis,classifies
Uveitas,Granulomatozinis uveitas,classifies
Uveitis,Granulomatozni uveitis,classifies
Uveitis,Uveal tract structure,has finding site
Uveite,Uveite,classified as
Uveitis,Uveitis,classifies
Uveitis,Uveitis,classified as
Uveitida,Uveitida,classified as
Uveitis k.m.n.,Uveitis,classified as
Uveite,Uveite,classifies
Uveitis,Uveitis,classifies
Uveitis,Uveitis,classifies
Uveitida,Uveitida,classifies
Uveitis,Uveitis k.m.n.,classifies
Uveitis,Uveitis,classified as
Uveit UNS,Uveit,classified as
Uveit,Uveit,classified as
Uveit,Uveit,classifies
Uveit,Uveit UNS,classifies
"Uveitas, kitaip nenurodyta",Uveitas,classified as
Uveitas,Uveitas,classifies
Uveitas,Uveitas,classified as
Uveitis,"Uveitis, nespecificiran",classifies
"Uveitis, nespecificiran",Uveitis,classified as
Uveitis,Uveitis,classified as
Uveitas,"Uveitas, kitaip nenurodyta",classifies
Uveitis,Uveitis,classifies
Uveitis,Uveitis,classified as
Uveitis,Uveitis,replaced by
Uveitis,Peripheral uveitis,classifies
Uveitis,Intermediate uveitis,classifies
Uveite,Uveite intermedia,classifies
Uveite,Uveite periferica,classifies
Uveit,Perifer uveit,classifies
Uveitis,Intermedier uveitis,classifies
Uveitis,Intermediaere Uveitis,classifies
Uveitas,Periferinis uveitas,classifies
Uveitas,Tarpinis uveitas,classifies
Uveitis,Srednji uveitis,classifies
Uveitis,Periphere Uveitis,classifies
Uveitis,Periferni uveitis,classifies
Uveitis,Panuveitis,classifies
Uveite,Panuveite,classifies
Uveitis,Panuveitis,classifies
Uveitida,Panuveitida,classifies
Uveitis,Panuveitis,classifies
Uveit,Panuveit,classifies
Uveitas,Panuveitis,classifies
Uveitis,Difuzni uveitis,classifies
